date,open_price,high_price,low_price,close_price,volume,dividend,split
2019-12-12,37.25,37.75,34.6,35.5,9504551,0.0,1.0
2019-12-13,36.0,38.98,35.63,38.98,1615700,0.0,1.0
2019-12-16,39.37,40.23,36.15,36.38,1229000,0.0,1.0
2019-12-17,37.26,37.99,36.53,37.0,796500,0.0,1.0
2019-12-18,37.27,38.5,36.8,38.04,1206041,0.0,1.0
2019-12-19,38.25,38.25,37.0,38.2,249609,0.0,1.0
2019-12-20,38.49,38.5,37.76,38.14,566932,0.0,1.0
2019-12-23,38.0,39.75,37.61,38.76,384469,0.0,1.0
2019-12-24,38.75,41.38,38.74,40.05,326230,0.0,1.0
2019-12-26,40.14,41.75,39.0,39.0,522368,0.0,1.0
2019-12-27,39.02,39.04,37.56,38.58,317763,0.0,1.0
2019-12-30,38.46,38.78,36.79,36.93,484280,0.0,1.0
2019-12-31,37.31,38.44,37.06,38.05,509716,0.0,1.0
2020-01-02,38.36,38.7,36.82,38.7,851746,0.0,1.0
2020-01-03,38.55,38.63,37.43,38.01,292645,0.0,1.0
2020-01-06,37.53,37.56,35.58,37.51,871852,0.0,1.0
2020-01-07,37.4,37.4,36.5,36.52,568158,0.0,1.0
2020-01-08,36.35,38.41,36.3,37.89,617775,0.0,1.0
2020-01-09,38.1,38.89,37.65,38.86,369480,0.0,1.0
2020-01-10,38.98,39.93,38.45,39.49,246359,0.0,1.0
2020-01-13,39.6,41.21,39.6,41.08,305999,0.0,1.0
2020-01-14,41.1,41.69,40.53,41.07,310002,0.0,1.0
2020-01-15,41.0,42.5,39.5,40.1,699096,0.0,1.0
2020-01-16,40.08,41.68,39.77,41.48,281414,0.0,1.0
2020-01-17,41.81,43.86,41.3,43.7,547316,0.0,1.0
2020-01-21,44.31,44.7,43.54,43.82,394705,0.0,1.0
2020-01-22,43.96,46.97,43.85,46.52,679536,0.0,1.0
2020-01-23,46.73,47.36,45.41,46.27,758726,0.0,1.0
2020-01-24,46.51,47.69,46.18,47.23,431427,0.0,1.0
2020-01-27,46.38,46.89,45.64,46.58,222290,0.0,1.0
2020-01-28,46.88,49.62,46.88,48.26,334432,0.0,1.0
2020-01-29,48.71,49.5,48.38,48.69,230259,0.0,1.0
2020-01-30,48.47,48.97,47.53,48.5,310217,0.0,1.0
2020-01-31,48.31,50.98,48.15,50.32,410568,0.0,1.0
2020-02-03,50.51,51.84,50.32,51.45,349510,0.0,1.0
2020-02-04,51.92,53.29,51.92,52.9,385211,0.0,1.0
2020-02-05,53.21,53.21,46.88,49.64,860322,0.0,1.0
2020-02-06,49.91,50.82,46.76,48.51,633169,0.0,1.0
2020-02-07,56.88,58.97,52.8,55.81,1715782,0.0,1.0
2020-02-10,55.95,59.5,55.49,59.23,613077,0.0,1.0
2020-02-11,60.89,61.52,58.35,60.65,949304,0.0,1.0
2020-02-12,61.3,63.5,61.05,62.94,551065,0.0,1.0
2020-02-13,62.12,64.12,61.91,62.13,509517,0.0,1.0
2020-02-14,61.49,63.91,61.0,61.77,498559,0.0,1.0
2020-02-18,61.66,63.25,59.33,59.33,553274,0.0,1.0
2020-02-19,59.77,63.62,59.11,62.78,421733,0.0,1.0
2020-02-20,63.13,63.52,58.54,60.11,411676,0.0,1.0
2020-02-21,59.93,59.95,55.81,56.28,487484,0.0,1.0
2020-02-24,53.25,55.78,52.99,55.24,457259,0.0,1.0
2020-02-25,56.14,56.68,53.55,55.23,554152,0.0,1.0
2020-02-26,55.32,58.6,55.0,56.88,434571,0.0,1.0
2020-02-27,54.88,56.85,53.0,53.42,557483,0.0,1.0
2020-02-28,52.1,57.05,50.4,56.76,978628,0.0,1.0
2020-03-02,57.44,60.96,54.95,60.5,699089,0.0,1.0
2020-03-03,60.52,61.36,56.66,58.68,767682,0.0,1.0
2020-03-04,59.26,60.48,58.0,58.76,288078,0.0,1.0
2020-03-05,57.33,62.87,56.64,58.45,645860,0.0,1.0
2020-03-06,56.63,57.97,52.1,53.63,585108,0.0,1.0
2020-03-09,49.36,49.36,44.62,44.72,1089865,0.0,1.0
2020-03-10,47.13,48.71,44.73,48.04,650607,0.0,1.0
2020-03-11,47.46,48.15,44.61,45.05,568862,0.0,1.0
2020-03-12,42.32,44.0,38.0,40.12,970264,0.0,1.0
2020-03-13,43.21,45.0,39.36,39.95,1134761,0.0,1.0
2020-03-16,35.85,40.0,32.46,36.25,1221309,0.0,1.0
2020-03-17,36.83,37.02,32.5,33.64,818229,0.0,1.0
2020-03-18,32.64,33.5,23.61,29.21,1374365,0.0,1.0
2020-03-19,27.5,38.0,27.4,35.69,1692341,0.0,1.0
2020-03-20,38.0,41.11,36.76,37.78,1696387,0.0,1.0
2020-03-23,37.24,38.44,34.41,37.29,1306579,0.0,1.0
2020-03-24,38.29,41.74,38.29,41.36,520394,0.0,1.0
2020-03-25,40.2,42.98,37.2,41.11,786164,0.0,1.0
2020-03-26,40.8,45.96,38.53,41.23,1316629,0.0,1.0
2020-03-27,39.39,40.2,37.75,38.8,1724743,0.0,1.0
2020-03-30,38.85,38.94,36.11,37.52,1802958,0.0,1.0
2020-03-31,37.78,37.78,32.73,34.2,1550570,0.0,1.0
2020-04-01,32.13,33.75,30.69,31.75,2003713,0.0,1.0
2020-04-02,30.94,32.41,29.43,30.23,537576,0.0,1.0
2020-04-03,29.82,31.69,27.53,31.05,1222271,0.0,1.0
2020-04-06,32.49,39.0,31.85,38.3,1869919,0.0,1.0
2020-04-07,40.24,42.69,37.63,38.99,862723,0.0,1.0
2020-04-08,39.41,45.0,38.81,44.27,876887,0.0,1.0
2020-04-09,44.81,49.87,40.19,42.34,1466969,0.0,1.0
2020-04-13,42.59,42.74,40.26,40.26,488918,0.0,1.0
