date,open_price,high_price,low_price,close_price,volume,dividend,split
2020-08-13,35.06,37.49,31.79,37.44,49492408,0.0,1.0
2020-08-14,33.81,35.95,32.5,33.0,10652165,0.0,1.0
2020-08-17,33.45,39.0,33.4,38.72,8589844,0.0,1.0
2020-08-18,40.13,43.0,38.11,40.5,7961931,0.0,1.0
2020-08-19,40.5,48.1,39.9,42.37,13581216,0.0,1.0
2020-08-20,44.15,45.18,40.06,40.75,6842934,0.0,1.0
2020-08-21,40.07,42.8,40.0,41.87,3465579,0.0,1.0
2020-08-24,42.48,46.2,42.33,46.06,5073926,0.0,1.0
2020-08-25,46.42,52.63,46.17,51.2,5798112,0.0,1.0
2020-08-26,50.47,53.15,48.15,49.77,3448596,0.0,1.0
2020-08-27,49.42,49.76,46.03,46.9,2613266,0.0,1.0
2020-08-28,48.58,49.88,47.02,49.75,2423873,0.0,1.0
2020-08-31,50.11,52.57,49.25,51.29,12952887,0.0,1.0
2020-09-01,51.0,54.0,50.5,54.0,2004346,0.0,1.0
2020-09-02,54.41,54.6,48.6,49.5,3943939,0.0,1.0
2020-09-03,48.4,49.4,45.58,46.69,2702989,0.0,1.0
2020-09-04,46.2,47.33,43.78,45.44,2434230,0.0,1.0
2020-09-08,44.17,44.87,42.94,44.07,4601854,0.0,1.0
2020-09-09,44.59,47.67,44.42,45.79,2466668,0.0,1.0
2020-09-10,46.3,50.0,46.0,49.64,3128348,0.0,1.0
2020-09-11,50.0,52.5,48.01,48.53,1635763,0.0,1.0
2020-09-14,49.31,53.07,49.31,52.71,1874750,0.0,1.0
2020-09-15,52.71,54.19,51.86,54.18,1525542,0.0,1.0
2020-09-16,53.8,62.0,52.6,60.72,6044332,0.0,1.0
2020-09-17,57.56,60.25,55.9,57.55,5100872,0.0,1.0
2020-09-18,60.0,60.02,56.1,58.37,2298274,0.0,1.0
2020-09-21,56.58,56.58,52.01,53.51,1668241,0.0,1.0
2020-09-22,53.75,56.6,50.73,52.38,1540047,0.0,1.0
2020-09-23,53.0,54.95,52.5,53.98,1262719,0.0,1.0
2020-09-24,52.35,56.5,52.28,56.22,1152816,0.0,1.0
2020-09-25,56.04,57.73,55.06,56.97,845775,0.0,1.0
2020-09-28,57.96,61.8,57.61,61.39,2175155,0.0,1.0
2020-09-29,60.0,67.5,59.9,65.63,3549933,0.0,1.0
2020-09-30,65.33,65.65,58.8,61.3,4509090,0.0,1.0
2020-10-01,61.91,62.99,60.22,62.05,887726,0.0,1.0
2020-10-02,60.87,61.0,58.96,59.0,1341301,0.0,1.0
2020-10-05,60.46,60.57,58.52,60.0,2440383,0.0,1.0
2020-10-06,60.35,65.13,59.1,64.18,2177199,0.0,1.0
2020-10-07,64.2,65.22,62.0,62.66,863760,0.0,1.0
2020-10-08,62.86,65.48,62.17,64.84,862449,0.0,1.0
2020-10-09,65.0,66.6,63.72,66.45,871360,0.0,1.0
2020-10-12,66.52,67.13,62.32,64.45,2782977,0.0,1.0
2020-10-13,64.83,66.5,62.72,64.46,1183326,0.0,1.0
2020-10-14,64.6,66.39,63.8,65.39,984175,0.0,1.0
2020-10-15,64.02,71.4,63.51,69.72,1807009,0.0,1.0
2020-10-16,70.0,73.78,70.0,71.34,1570713,0.0,1.0
2020-10-19,71.8,74.74,68.12,69.57,1625683,0.0,1.0
2020-10-20,70.01,71.8,68.26,69.45,1012242,0.0,1.0
2020-10-21,69.45,72.65,69.15,71.13,1088196,0.0,1.0
2020-10-22,70.99,76.5,70.27,75.76,1325892,0.0,1.0
2020-10-23,75.3,75.3,69.16,69.99,1910025,0.0,1.0
2020-10-26,69.68,72.23,68.5,69.84,1742199,0.0,1.0
2020-10-27,70.5,71.77,69.72,70.6,1280333,0.0,1.0
2020-10-28,69.62,74.29,68.9,73.05,1617775,0.0,1.0
2020-10-29,73.2,73.21,69.6,71.58,1760917,0.0,1.0
2020-10-30,71.0,72.11,68.1,69.75,2995946,0.0,1.0
2020-11-02,71.08,71.8,68.83,69.82,1633493,0.0,1.0
2020-11-03,69.82,70.47,65.1,66.82,1893456,0.0,1.0
2020-11-04,67.35,75.44,67.35,75.32,1746559,0.0,1.0
2020-11-05,77.02,77.37,70.83,72.69,1689129,0.0,1.0
2020-11-06,73.0,76.13,71.6,75.65,1483631,0.0,1.0
2020-11-09,75.27,75.41,70.65,72.0,1957264,0.0,1.0
2020-11-10,70.6,71.97,67.02,67.7,2598061,0.0,1.0
2020-11-11,69.69,69.96,67.02,69.6,2009853,0.0,1.0
2020-11-12,71.19,72.4,67.64,67.64,2835512,0.0,1.0
2020-11-13,71.58,74.48,70.5,72.53,3297109,0.0,1.0
2020-11-16,75.0,79.4,72.15,73.56,4379945,0.0,1.0
2020-11-17,70.1,71.81,66.68,67.6,5092608,0.0,1.0
2020-11-18,68.21,68.28,60.89,61.17,4325588,0.0,1.0
2020-11-19,57.75,62.38,57.62,59.35,15527513,0.0,1.0
2020-11-20,61.74,63.46,60.0,60.8,8445376,0.0,1.0
2020-11-23,62.47,63.15,61.6,62.97,5297492,0.0,1.0
2020-11-24,63.97,65.48,62.68,64.08,5447111,0.0,1.0
2020-11-25,62.2,64.25,60.18,60.5,3527196,0.0,1.0
2020-11-27,62.39,66.79,61.78,64.46,3446272,0.0,1.0
2020-11-30,65.01,65.6,62.06,65.33,4392075,0.0,1.0
2020-12-01,65.8,67.8,64.0,64.39,2364565,0.0,1.0
2020-12-02,62.5,63.18,60.76,62.67,2337887,0.0,1.0
2020-12-03,63.01,64.46,62.95,63.12,2536249,0.0,1.0
2020-12-04,63.5,63.54,61.35,62.02,2504488,0.0,1.0
2020-12-07,62.5,64.9,61.94,62.19,1738645,0.0,1.0
2020-12-08,62.55,66.39,62.4,65.57,3917802,0.0,1.0
2020-12-09,65.99,68.87,65.63,67.2,3067792,0.0,1.0
2020-12-10,65.83,68.84,65.39,68.0,2386763,0.0,1.0
2020-12-11,68.06,69.13,65.22,66.13,2669386,0.0,1.0
2020-12-14,66.0,69.29,65.73,65.82,2566195,0.0,1.0
2020-12-15,66.41,67.16,63.2,63.62,2557548,0.0,1.0
2020-12-16,64.4,64.4,62.15,62.99,1580892,0.0,1.0
2020-12-17,63.24,64.34,62.2,62.87,1491868,0.0,1.0
2020-12-18,64.0,65.4,63.1,64.46,2789797,0.0,1.0
2020-12-21,64.0,67.77,63.74,66.82,3629176,0.0,1.0
2020-12-22,66.78,68.2,65.37,67.66,1824830,0.0,1.0
2020-12-23,68.47,69.95,67.62,67.97,2380647,0.0,1.0
2020-12-24,66.48,67.88,64.24,65.34,1217184,0.0,1.0
2020-12-28,65.65,66.46,61.8,62.4,3046290,0.0,1.0
2020-12-29,64.2,64.34,61.4,62.25,1836772,0.0,1.0
2020-12-30,63.01,64.47,62.87,63.82,1162653,0.0,1.0
2020-12-31,63.9,63.96,61.0,61.54,1626324,0.0,1.0
2021-01-04,62.27,62.36,56.23,57.51,5476932,0.0,1.0
2021-01-05,58.0,62.1,57.1,61.74,4258973,0.0,1.0
2021-01-06,61.64,62.96,61.18,61.8,2345767,0.0,1.0
2021-01-07,62.0,63.06,60.35,62.96,3607508,0.0,1.0
2021-01-08,63.52,66.8,63.52,65.28,3761516,0.0,1.0
2021-01-11,65.2,65.36,63.0,64.29,1696781,0.0,1.0
2021-01-12,65.79,67.25,64.41,65.99,2086044,0.0,1.0
2021-01-13,65.96,66.39,63.07,63.94,1896112,0.0,1.0
2021-01-14,64.2,64.63,62.21,62.54,2186326,0.0,1.0
2021-01-15,62.6,63.86,61.4,62.38,1834607,0.0,1.0
2021-01-19,65.09,65.15,62.44,63.37,2567584,0.0,1.0
2021-01-20,64.18,72.95,64.16,72.81,7673387,0.0,1.0
2021-01-21,70.12,78.0,69.85,73.4,4644036,0.0,1.0
2021-01-22,72.8,73.05,69.6,71.45,3328476,0.0,1.0
2021-01-25,72.5,76.7,68.51,70.8,5495642,0.0,1.0
2021-01-26,70.01,70.02,63.57,63.72,6114799,0.0,1.0
2021-01-27,61.8,63.2,60.0,61.84,4432674,0.0,1.0
2021-01-28,62.0,62.22,58.81,59.41,5370978,0.0,1.0
2021-01-29,60.2,60.51,58.29,59.1,3190114,0.0,1.0
2021-02-01,61.52,63.17,60.01,60.97,3839072,0.0,1.0
2021-02-02,63.99,64.75,61.69,64.55,3492807,0.0,1.0
2021-02-03,65.65,66.08,62.65,63.06,3067082,0.0,1.0
2021-02-04,62.86,65.95,61.61,64.98,3819984,0.0,1.0
2021-02-05,65.96,66.14,62.1,62.62,3140229,0.0,1.0
2021-02-08,62.01,62.54,60.28,62.2,3803197,0.0,1.0
