date,open_price,high_price,low_price,close_price,volume,dividend,split
2017-09-28,15.78,23.5,15.75,23.5,39265871,0.0,1.0
2017-09-29,26.74,29.8,25.47,26.54,44054717,0.0,1.0
2017-10-02,25.2,26.28,23.26,23.56,15961075,0.0,1.0
2017-10-03,23.01,23.02,20.77,20.81,13621669,0.0,1.0
2017-10-04,21.29,22.6,20.82,20.85,9345715,0.0,1.0
2017-10-05,21.4,22.2,21.35,22.01,6361606,0.0,1.0
2017-10-06,22.48,23.37,22.0,23.2,7045316,0.0,1.0
2017-10-09,23.85,25.35,23.56,24.54,7715340,0.0,1.0
2017-10-10,25.19,25.6,22.7,22.93,7479346,0.0,1.0
2017-10-11,23.81,24.33,23.2,23.66,5449264,0.0,1.0
2017-10-12,23.67,24.33,23.45,23.63,3545876,0.0,1.0
2017-10-13,23.75,24.2,22.95,23.02,2956916,0.0,1.0
2017-10-16,22.97,23.2,22.01,22.19,2577503,0.0,1.0
2017-10-17,22.29,22.5,21.5,22.09,1828128,0.0,1.0
2017-10-18,22.16,22.5,22.0,22.05,999300,0.0,1.0
2017-10-19,21.55,22.93,21.35,22.03,2025895,0.0,1.0
2017-10-20,22.07,22.43,21.8,21.87,1753172,0.0,1.0
2017-10-23,21.75,22.0,20.35,20.37,2728583,0.0,1.0
2017-10-24,20.4,20.7,19.28,19.77,2359825,0.0,1.0
2017-10-25,19.66,19.76,18.35,18.92,2418919,0.0,1.0
2017-10-26,19.06,19.5,18.52,18.57,1705209,0.0,1.0
2017-10-27,18.5,19.3,18.5,18.79,1588394,0.0,1.0
2017-10-30,18.72,20.15,18.7,19.5,2108520,0.0,1.0
2017-10-31,19.89,20.84,19.6,20.38,1879988,0.0,1.0
2017-11-01,20.44,20.88,19.77,19.8,1162015,0.0,1.0
2017-11-02,20.53,20.53,19.59,19.75,523924,0.0,1.0
2017-11-03,19.65,19.76,18.8,19.55,766784,0.0,1.0
2017-11-06,19.41,19.95,19.25,19.34,1416792,0.0,1.0
2017-11-07,19.24,19.55,18.8,19.13,927772,0.0,1.0
2017-11-08,19.3,19.43,18.56,18.84,4730598,0.0,1.0
2017-11-09,24.75,29.44,23.86,29.19,33261342,0.0,1.0
2017-11-10,30.91,36.65,30.5,33.25,34527445,0.0,1.0
2017-11-13,34.88,47.49,34.86,42.71,52875958,0.0,1.0
2017-11-14,46.74,48.8,36.58,36.95,56698321,0.0,1.0
2017-11-15,34.61,39.75,34.22,39.32,22289695,0.0,1.0
2017-11-16,42.0,42.75,38.11,39.79,18467515,0.0,1.0
2017-11-17,38.92,40.57,37.75,38.59,7555921,0.0,1.0
2017-11-20,39.1,39.95,38.6,39.02,5895333,0.0,1.0
2017-11-21,39.0,39.42,37.19,37.26,5433461,0.0,1.0
2017-11-22,37.0,41.09,35.03,40.6,11770852,0.0,1.0
2017-11-24,41.19,41.26,39.16,39.47,4689927,0.0,1.0
2017-11-27,40.86,47.75,40.6,46.52,19425318,0.0,1.0
2017-11-28,49.4,51.8,44.66,46.43,38951750,0.0,1.0
2017-11-29,44.51,47.5,42.31,44.87,15735598,0.0,1.0
2017-11-30,45.5,45.85,43.41,43.9,6704866,0.0,1.0
2017-12-01,43.74,44.75,42.31,43.55,4770611,0.0,1.0
2017-12-04,44.5,45.3,41.32,41.73,5744163,0.0,1.0
2017-12-05,41.16,42.45,39.21,39.45,5019965,0.0,1.0
2017-12-06,38.5,44.55,37.81,44.26,11888688,0.0,1.0
2017-12-07,43.02,45.44,42.07,42.52,10258153,0.0,1.0
2017-12-08,43.15,44.98,42.1,44.79,8539732,0.0,1.0
2017-12-11,45.0,48.2,44.43,47.98,10302852,0.0,1.0
2017-12-12,48.06,48.7,46.5,46.95,6346643,0.0,1.0
2017-12-13,47.79,48.66,44.25,45.46,6714964,0.0,1.0
2017-12-14,47.49,48.52,45.63,46.15,6940500,0.0,1.0
2017-12-15,47.48,53.17,46.76,52.31,16826574,0.0,1.0
2017-12-18,54.55,57.25,53.01,56.1,14266712,0.0,1.0
2017-12-19,57.71,58.8,53.92,56.58,11370640,0.0,1.0
2017-12-20,56.58,56.74,52.43,52.89,6668384,0.0,1.0
2017-12-21,52.4,55.1,52.3,53.85,6649883,0.0,1.0
2017-12-22,52.5,53.68,51.32,51.62,5314261,0.0,1.0
2017-12-26,51.2,54.9,51.01,54.87,5473868,0.0,1.0
2017-12-27,55.2,56.7,54.61,54.76,5361617,0.0,1.0
2017-12-28,54.85,55.09,53.03,53.19,3505098,0.0,1.0
2017-12-29,53.3,53.6,51.5,51.78,3521999,0.0,1.0
2018-01-02,52.64,52.85,50.35,52.07,4226712,0.0,1.0
2018-01-03,52.8,57.42,52.72,55.44,9911844,0.0,1.0
