date,open_price,high_price,low_price,close_price,volume,dividend,split
2020-07-17,51.05,68.38,50.26,65.45,4507133,0.0,1.0
2020-07-20,58.51,64.5,58.51,62.1,359729,0.0,1.0
2020-07-21,65.21,65.69,57.51,58.5,379192,0.0,1.0
2020-07-22,56.98,57.79,55.0,56.0,251636,0.0,1.0
2020-07-23,56.67,61.99,55.4,58.1,761358,0.0,1.0
2020-07-24,58.16,59.93,57.01,59.5,202374,0.0,1.0
2020-07-27,59.58,60.8,56.25,57.6,227404,0.0,1.0
2020-07-28,57.63,59.0,56.12,57.9,72115,0.0,1.0
2020-07-29,57.2,60.0,56.88,59.0,126110,0.0,1.0
2020-07-30,58.74,60.0,56.97,58.6,113114,0.0,1.0
2020-07-31,58.49,60.68,58.02,59.97,245232,0.0,1.0
2020-08-03,59.99,71.22,59.51,71.2,291767,0.0,1.0
2020-08-04,71.6,77.99,71.51,71.86,195850,0.0,1.0
2020-08-05,72.94,72.94,65.76,65.96,164110,0.0,1.0
2020-08-06,66.36,69.32,61.35,64.0,224535,0.0,1.0
2020-08-07,64.67,65.2,57.31,57.55,258020,0.0,1.0
2020-08-10,58.22,62.1,57.76,58.15,185698,0.0,1.0
2020-08-11,58.35,59.99,55.85,56.42,205810,0.0,1.0
2020-08-12,58.29,61.22,56.82,60.0,274140,0.0,1.0
2020-08-13,60.45,65.01,60.05,61.11,284305,0.0,1.0
2020-08-14,61.5,64.38,60.65,62.27,209063,0.0,1.0
2020-08-17,62.37,63.45,58.54,59.75,270338,0.0,1.0
2020-08-18,60.29,62.04,58.0,58.77,50789,0.0,1.0
2020-08-19,58.48,60.3,56.7,57.73,83349,0.0,1.0
2020-08-20,57.7,63.12,56.1,61.52,87631,0.0,1.0
2020-08-21,61.19,63.48,60.08,63.3,165043,0.0,1.0
2020-08-24,63.3,66.79,61.36,65.93,97249,0.0,1.0
2020-08-25,65.8,74.26,63.3,71.85,161426,0.0,1.0
2020-08-26,68.06,68.4,61.03,63.0,293468,0.0,1.0
2020-08-27,63.26,65.6,63.0,63.68,78161,0.0,1.0
2020-08-28,61.89,70.4,61.89,67.71,102330,0.0,1.0
2020-08-31,68.0,69.6,64.5,65.4,66689,0.0,1.0
2020-09-01,65.98,68.09,64.55,64.88,121979,0.0,1.0
2020-09-02,65.33,66.92,65.01,66.17,179177,0.0,1.0
2020-09-03,66.98,67.08,59.14,63.25,170671,0.0,1.0
2020-09-04,62.7,65.62,60.8,62.4,113047,0.0,1.0
2020-09-08,61.99,62.36,60.0,60.45,67091,0.0,1.0
2020-09-09,60.9,62.23,59.43,60.02,135876,0.0,1.0
2020-09-10,60.55,62.87,59.0,59.56,280278,0.0,1.0
2020-09-11,59.75,60.72,58.0,58.7,128720,0.0,1.0
2020-09-14,59.23,62.77,58.81,60.57,102036,0.0,1.0
2020-09-15,61.63,63.62,60.1,61.71,98941,0.0,1.0
2020-09-16,61.82,62.72,61.23,61.81,109274,0.0,1.0
2020-09-17,61.35,68.3,61.18,66.51,196086,0.0,1.0
2020-09-18,67.2,74.88,66.96,72.31,926240,0.0,1.0
2020-09-21,72.0,73.9,68.7,72.69,180026,0.0,1.0
2020-09-22,72.81,74.57,69.07,70.39,119727,0.0,1.0
2020-09-23,70.51,72.0,65.04,68.69,159344,0.0,1.0
2020-09-24,68.13,71.65,66.46,68.04,94858,0.0,1.0
2020-09-25,68.06,69.27,65.96,66.6,97397,0.0,1.0
2020-09-28,67.75,71.98,67.2,70.19,123511,0.0,1.0
2020-09-29,70.04,76.87,68.12,74.38,164960,0.0,1.0
2020-09-30,74.52,78.73,74.52,76.36,168398,0.0,1.0
2020-10-01,76.63,80.88,75.06,76.99,178767,0.0,1.0
2020-10-02,75.82,78.93,74.4,78.18,163185,0.0,1.0
2020-10-05,78.63,85.5,77.93,81.62,176581,0.0,1.0
2020-10-06,81.76,87.49,80.7,85.08,232507,0.0,1.0
2020-10-07,85.88,89.67,85.17,86.5,136909,0.0,1.0
2020-10-08,87.3,88.19,83.0,84.6,60826,0.0,1.0
2020-10-09,85.0,87.0,83.27,83.97,55963,0.0,1.0
2020-10-12,83.59,84.78,82.44,83.61,67642,0.0,1.0
2020-10-13,82.52,83.7,80.68,81.05,114501,0.0,1.0
2020-10-14,80.75,82.38,79.71,80.39,77627,0.0,1.0
2020-10-15,80.17,80.5,75.5,77.44,148489,0.0,1.0
2020-10-16,78.47,78.95,74.36,75.11,77976,0.0,1.0
2020-10-19,75.51,76.95,73.73,74.96,111899,0.0,1.0
2020-10-20,76.0,81.21,76.0,78.56,169549,0.0,1.0
2020-10-21,78.83,80.05,75.8,77.14,90430,0.0,1.0
2020-10-22,76.86,79.33,76.52,78.56,37613,0.0,1.0
2020-10-23,78.57,79.36,74.64,75.6,125589,0.0,1.0
2020-10-26,75.45,75.85,73.39,73.8,82795,0.0,1.0
2020-10-27,73.07,77.61,70.65,74.75,102100,0.0,1.0
2020-10-28,73.45,78.38,71.32,78.06,81349,0.0,1.0
2020-10-29,78.35,79.75,74.34,75.9,113337,0.0,1.0
2020-10-30,74.73,75.48,71.53,72.57,77666,0.0,1.0
2020-11-02,72.41,74.82,69.0,70.38,82139,0.0,1.0
2020-11-03,70.38,72.4,70.38,71.96,75746,0.0,1.0
2020-11-04,72.43,75.65,72.03,75.27,40242,0.0,1.0
2020-11-05,75.54,80.2,75.54,79.74,50710,0.0,1.0
2020-11-06,80.54,84.75,77.82,83.45,85863,0.0,1.0
2020-11-09,83.0,87.78,82.57,87.73,101316,0.0,1.0
2020-11-10,89.56,91.25,78.76,87.06,284172,0.0,1.0
2020-11-11,87.92,88.11,81.28,82.57,115168,0.0,1.0
2020-11-12,83.39,91.72,82.73,90.83,163418,0.0,1.0
2020-11-13,88.0,96.05,81.1,95.0,342951,0.0,1.0
2020-11-16,98.93,98.93,85.51,90.17,147781,0.0,1.0
2020-11-17,87.21,87.31,83.44,86.08,158360,0.0,1.0
2020-11-18,88.3,96.17,87.3,93.01,160114,0.0,1.0
2020-11-19,84.48,85.64,81.5,81.63,2136879,0.0,1.0
2020-11-20,83.31,84.89,79.26,83.78,592346,0.0,1.0
2020-11-23,84.5,85.4,81.22,83.36,448996,0.0,1.0
2020-11-24,83.58,84.54,80.45,82.49,208060,0.0,1.0
2020-11-25,82.14,82.14,77.02,77.98,440948,0.0,1.0
2020-11-27,77.79,82.83,76.59,81.94,251109,0.0,1.0
2020-11-30,81.83,84.0,78.53,82.86,279228,0.0,1.0
2020-12-01,84.68,85.25,79.52,79.93,209785,0.0,1.0
2020-12-02,80.19,80.66,76.5,79.0,367002,0.0,1.0
2020-12-03,78.52,79.42,76.81,77.27,273213,0.0,1.0
2020-12-04,77.58,82.16,77.44,81.28,210521,0.0,1.0
2020-12-07,81.8,87.76,81.8,85.38,345432,0.0,1.0
2020-12-08,87.49,89.82,83.23,89.35,323276,0.0,1.0
2020-12-09,89.97,95.97,85.86,87.62,532801,0.0,1.0
2020-12-10,86.54,94.1,86.54,90.0,728848,0.0,1.0
2020-12-11,91.37,96.72,85.07,89.51,672447,0.0,1.0
2020-12-14,89.68,92.26,82.18,82.81,369628,0.0,1.0
2020-12-15,82.97,85.53,82.5,83.57,400246,0.0,1.0
2020-12-16,83.46,87.7,82.8,87.04,230697,0.0,1.0
2020-12-17,87.41,91.76,86.43,88.65,393770,0.0,1.0
2020-12-18,89.29,94.97,89.29,94.2,537733,0.0,1.0
2020-12-21,94.0,104.99,92.26,103.56,556467,0.0,1.0
2020-12-22,104.6,109.78,92.24,106.0,895726,0.0,1.0
2020-12-23,110.93,113.53,101.28,103.45,434707,0.0,1.0
2020-12-24,103.14,108.02,101.76,103.38,157422,0.0,1.0
2020-12-28,106.08,106.1,98.09,98.74,426502,0.0,1.0
2020-12-29,98.5,101.0,88.18,89.5,538485,0.0,1.0
2020-12-30,92.24,100.0,91.31,92.0,338392,0.0,1.0
2020-12-31,92.11,93.84,84.82,89.41,442048,0.0,1.0
2021-01-04,90.5,90.94,80.34,83.54,641073,0.0,1.0
2021-01-05,83.17,93.02,83.17,88.65,652868,0.0,1.0
2021-01-06,91.77,91.77,85.54,87.8,499383,0.0,1.0
2021-01-07,90.44,91.71,87.0,89.06,1047982,0.0,1.0
2021-01-08,93.76,98.39,87.83,88.85,889356,0.0,1.0
2021-01-11,88.53,91.04,85.4,89.26,511779,0.0,1.0
2021-01-12,89.23,92.58,87.48,87.75,511444,0.0,1.0
2021-01-13,87.76,87.8,78.97,83.71,2724618,0.0,1.0
2021-01-14,84.45,86.14,84.0,85.42,1173949,0.0,1.0
2021-01-15,85.84,90.09,82.65,83.75,1415165,0.0,1.0
2021-01-19,84.27,84.54,79.61,80.83,1355110,0.0,1.0
2021-01-20,81.08,85.09,79.5,82.78,1312248,0.0,1.0
2021-01-21,82.96,83.28,80.67,83.01,833950,0.0,1.0
2021-01-22,81.93,82.32,79.73,81.03,1217922,0.0,1.0
2021-01-25,81.74,83.37,79.07,79.95,1147182,0.0,1.0
2021-01-26,80.21,80.28,72.93,73.22,1875187,0.0,1.0
2021-01-27,74.8,79.67,70.01,71.34,1576571,0.0,1.0
2021-01-28,70.3,75.05,70.1,74.55,1614993,0.0,1.0
2021-01-29,75.0,76.1,71.02,72.0,613539,0.0,1.0
2021-02-01,71.97,74.79,71.2,71.86,1161168,0.0,1.0
2021-02-02,72.71,79.22,72.48,77.18,1542713,0.0,1.0
2021-02-03,78.02,79.01,74.9,76.97,755371,0.0,1.0
2021-02-04,77.5,77.94,75.66,77.6,435245,0.0,1.0
2021-02-05,77.6,79.37,76.08,78.31,853860,0.0,1.0
2021-02-08,78.4,79.28,73.5,79.01,996310,0.0,1.0
2021-02-09,79.0,80.75,78.05,80.0,855095,0.0,1.0
2021-02-10,80.99,82.42,77.0,78.62,579098,0.0,1.0
2021-02-11,79.23,80.08,77.16,78.81,532869,0.0,1.0
2021-02-12,79.8,80.01,78.6,79.98,529583,0.0,1.0
2021-02-16,80.88,80.89,76.44,76.62,454408,0.0,1.0
2021-02-17,75.55,76.2,73.3,74.55,399564,0.0,1.0
2021-02-18,73.57,73.98,70.35,73.02,710564,0.0,1.0
2021-02-19,73.13,74.4,71.67,72.02,378064,0.0,1.0
2021-02-22,71.6,74.17,68.9,69.34,614478,0.0,1.0
2021-02-23,66.5,71.77,61.01,67.83,1304477,0.0,1.0
2021-02-24,68.83,71.16,66.74,67.5,875163,0.0,1.0
2021-02-25,67.75,67.78,61.2,61.91,1171931,0.0,1.0
2021-02-26,62.28,65.42,61.8,61.97,1961372,0.0,1.0
2021-03-01,62.16,62.8,56.87,62.3,2352616,0.0,1.0
2021-03-02,65.03,65.2,61.71,61.85,1869158,0.0,1.0
2021-03-03,63.65,63.65,58.66,58.78,1483373,0.0,1.0
2021-03-04,57.77,57.81,52.71,53.72,2158280,0.0,1.0
